ativo,quantiade,valor,data_negociacao,tipo_de_ordem,Impostos,moeda,dono
BBAS3,100,53.93,20221130,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,17.02,20221130,dividendos,0,real,rodrigo
TAEE3,300,51.03,20221205,juros_de_capital_proprio,0,real,rodrigo
TAEE3,300,32.91,20221205,dividendos,0,real,rodrigo
TAEE3,300,13.10,20221205,dividendos,0,real,rodrigo
BBAS3,100,29.37,20221229,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230102,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,35.20,20230102,juros_de_capital_proprio,0,real,rodrigo
TAEE3,300,133.52,20230123,dividendos,0,real,rodrigo
ITUB4,100,1.50,20230201,juros_de_capital_proprio,0,real,rodrigo
IRBR3,0,7.41,20230224,pagamento_de_fracoes,0,real,rodrigo
ITUB4,100,1.50,20230301,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,0.40,20230303,rendimentos,0.11,real,rodrigo
BBAS3,100,0.98,20230303,rendimentos,0.28,real,rodrigo
BBAS3,100,48.75,20230303,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,23.54,20230303,dividendos,0,real,rodrigo
ITUB4,100,41.32,20230310,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,210.94,20230310,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,29.92,20230331,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230403,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,35.20,20230403,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230502,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230601,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,55.63,20230612,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,12.30,20230612,dividendos,0,real,rodrigo
CMIG4,200,11.30,20230623,dividendos,0,real,rodrigo
BBAS3,100,28.79,20230623,juros_de_capital_proprio,0,real,rodrigo
CMIG4,200,19.91,20230623,juros_de_capital_proprio,0,real,rodrigo
CMIG4,200,15.40,20230623,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,35.20,20230703,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230703,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.50,20230801,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,0.25,20230830,rendimentos,0,real,rodrigo
BBAS3,100,1.11,20230830,rendimentos,0,real,rodrigo
BBAS3,100,55.65,20230830,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,14.37,20230830,dividendos,0,real,rodrigo
MMM,20,21,20230913,dividendos,9,dolar,rodrigo
MMM,5,5.25,20230913,dividendos,2.25,dolar,dayane
BBAS3,100,28.40,20230929,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,35.2,20231002,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.5,20231002,juros_de_capital_proprio,0,real,rodrigo
MXRF11,100,11,20231016,dividendos,0,real,rodrigo
ITUB4,100,1.5,20231101,juros_de_capital_proprio,0,real,rodrigo
MXRF11,100,11,20231116,dividendos,0,real,rodrigo
RANI3,300,10.02,20231122,dividendos,0,real,rodrigo
RANI3,100,3.34,20231122,dividendos,0,real,dayane
BBAS3,100,58.33,20231130,juros_de_capital_proprio,0,real,rodrigo
CPLE3,100,24.65,20231130,juros_de_capital_proprio,0,real,rodrigo
BBAS3,100,10.19,20231130,dividendos,0,real,rodrigo
ITUB4,100,1.5,20231201,juros_de_capital_proprio,0,real,rodrigo
MMM,20,21,20231213,dividendos,9,dolar,rodrigo
MMM,5,5.25,20231213,dividendos,2.25,dolar,dayane
MXRF11,100,11,20231214,dividendos,0,real,rodrigo
TAEE3,300,49.47,20231215,juros_de_capital_proprio,0,real,rodrigo
TAEE4,400,65.96,20231215,juros_de_capital_proprio,0,real,rodrigo
TAEE3,300,1.18,20231215,dividendos,0,real,rodrigo
TAEE4,400,1.57,20231215,dividendos,0,real,rodrigo
BBAS3,100,29.10,20231228,juros_de_capital_proprio,0,real,rodrigo
ITSA4,1760,36.96,20240102,juros_de_capital_proprio,0,real,rodrigo
ITUB4,100,1.5,20240102,juros_de_capital_proprio,0,real,rodrigo
